postcode,avg_download_speed,max_download_speed,town,county
CA1 2EG,37.5,106.3,Carlisle,Cumberland
CA1 2EH,48.4,106.3,Carlisle,Cumberland
CA1 2EL,37.6,76.3,Carlisle,Cumberland
CA1 2EP,46.3,106.3,Carlisle,Cumberland
CA1 2ES,32.2,71.9,Carlisle,Cumberland
CA1 2ET,50.9,106.3,Carlisle,Cumberland
CA1 2EU,65.4,106.3,Carlisle,Cumberland
CA1 2EW,48,106.3,Carlisle,Cumberland
CA1 2EX,29.3,39.9,Carlisle,Cumberland
CA1 2EY,21.4,32.6,Carlisle,Cumberland
CA1 2EZ,63.5,106.3,Carlisle,Cumberland
CA1 2FD,19.5,80,Carlisle,Cumberland
CA1 2FE,28.1,80,Carlisle,Cumberland
CA1 2FF,29.7,80,Carlisle,Cumberland
CA1 2FH,37.1,106.3,Carlisle,Cumberland
CA1 2FJ,34,79.7,Carlisle,Cumberland
CA1 2FL,23.2,62.3,Carlisle,Cumberland
CA1 2FN,40.4,72.6,Carlisle,Cumberland
CA1 2GT,21.6,40,Carlisle,Cumberland
CA1 2HA,29.2,79.7,Carlisle,Cumberland
CA1 2HB,62.6,200,Carlisle,Cumberland
CA1 2HD,48,200,Carlisle,Cumberland
CA1 2HE,28.2,80,Carlisle,Cumberland
CA1 2HH,15.8,20.3,Carlisle,Cumberland
CA1 2HJ,76.8,200,Carlisle,Cumberland
CA1 2HL,36.1,106.3,Carlisle,Cumberland
CA1 2HP,30.5,106.3,Carlisle,Cumberland
CA1 2HQ,41.8,79.9,Carlisle,Cumberland
CA1 2HR,65,200,Carlisle,Cumberland
CA1 2HS,74.2,200,Carlisle,Cumberland
CA1 2HT,51.4,200,Carlisle,Cumberland
CA1 2HU,30.9,39.8,Carlisle,Cumberland
CA1 2HW,51,76.3,Carlisle,Cumberland
CA1 2HX,35.8,79.9,Carlisle,Cumberland
CA1 2HY,57,106.3,Carlisle,Cumberland
CA1 2JA,22,40,Carlisle,Cumberland
CA1 2JB,39.7,106.3,Carlisle,Cumberland
CA1 2JE,35,45.8,Carlisle,Cumberland
CA1 2JF,55.8,200,Carlisle,Cumberland
CA1 2JL,36,106.3,Carlisle,Cumberland
CA1 2JN,38.1,106.3,Carlisle,Cumberland
CA1 2JP,61.3,106.3,Carlisle,Cumberland
CA1 2JQ,46.2,106.3,Carlisle,Cumberland
CA1 2JU,42.5,80,Carlisle,Cumberland
CA1 2JW,30.9,106.3,Carlisle,Cumberland
CA1 2JZ,44.7,80,Carlisle,Cumberland
CA1 2LB,34.8,78.2,Carlisle,Cumberland
CA1 2LD,39,79.9,Carlisle,Cumberland
CA1 2LE,53.4,77.2,Carlisle,Cumberland
CA1 2LF,39.4,106.3,Carlisle,Cumberland
CA1 2LG,24.5,39.8,Carlisle,Cumberland
CA1 2LH,45.5,200,Carlisle,Cumberland
CA1 2LJ,33.9,74.3,Carlisle,Cumberland
CA1 2LL,52.8,200,Carlisle,Cumberland
CA1 2LN,40.6,78.2,Carlisle,Cumberland
CA1 2LP,41.5,106.3,Carlisle,Cumberland
CA1 2LS,44.4,80,Carlisle,Cumberland
CA1 2LU,50.3,200,Carlisle,Cumberland
CA1 2LW,41.8,200,Carlisle,Cumberland
CA1 2LX,38.3,106.3,Carlisle,Cumberland
CA1 2LY,49.7,200,Carlisle,Cumberland
CA1 2LZ,39.4,106.3,Carlisle,Cumberland
CA1 2NB,75.1,300,Carlisle,Cumberland
CA1 2ND,47.7,200,Carlisle,Cumberland
CA1 2NE,53.5,106.3,Carlisle,Cumberland
CA1 2NH,55.1,76.2,Carlisle,Cumberland
CA1 2NS,49.1,80,Carlisle,Cumberland
CA1 2NU,30,79.9,Carlisle,Cumberland
CA1 2NW,34.1,79,Carlisle,Cumberland
CA1 2PD,23.9,40,Carlisle,Cumberland
CA1 2PE,65.7,80,Carlisle,Cumberland
CA1 2PF,28.8,73.9,Carlisle,Cumberland
CA1 2PG,39.4,66.3,Carlisle,Cumberland
CA1 2PH,34,79.9,Carlisle,Cumberland
CA1 2PJ,77.3,80,Carlisle,Cumberland
CA1 2PP,30.5,79.9,Carlisle,Cumberland
CA1 2PS,35.8,80,Carlisle,Cumberland
CA1 2PZ,34.6,80,Carlisle,Cumberland
CA1 2QA,43.5,76.6,Carlisle,Cumberland
CA1 2QB,25.3,78.2,Carlisle,Cumberland
CA1 2QE,40,80,Carlisle,Cumberland
CA1 2QF,32.3,75.1,Carlisle,Cumberland
CA1 2QG,34,73.9,Carlisle,Cumberland
CA1 2QH,33,72.8,Carlisle,Cumberland
CA1 2QJ,35.9,76.1,Carlisle,Cumberland
CA1 2QL,42.8,80,Carlisle,Cumberland
CA1 2QN,46.7,79.9,Carlisle,Cumberland
CA1 2QP,32.4,78.3,Carlisle,Cumberland
CA1 2QR,35.1,76.3,Carlisle,Cumberland
CA1 2QS,28.8,80,Carlisle,Cumberland
CA1 2QT,23.6,62.7,Carlisle,Cumberland
CA1 2QU,33.5,69.9,Carlisle,Cumberland
CA1 2QW,35.6,76.3,Carlisle,Cumberland
CA1 2QY,36.7,74.8,Carlisle,Cumberland
CA1 2QZ,45.4,79.4,Carlisle,Cumberland
CA1 2RA,30.9,76.9,Carlisle,Cumberland
CA1 2RB,30.3,67.8,Carlisle,Cumberland
CA1 2RE,19.4,71.3,Carlisle,Cumberland
